SN,Setting1,Setting2,Setting3,Setting4,Setting5,BDate,FileDate,TUT,Hrs/Day,NormDist x Values,NormDist y Values
111136001006982,0.00641931,0.247203855,0.268080117,0.027638466,0.450659167,12/15/2015,10/31/2017,606.7630556,0.88449425,0,0.000150266
11136000000000,0.58768191,0.328626339,0.065501241,0.004842425,0.013347613,,1/31/2018,587.9744444,#N/A,3.141025641,0.00015558
11136000000097,0,0.014635072,0.953566849,0.004679036,0.027117735,8/5/2015,12/7/2017,212.2944444,0.248297596,6.282051282,0.000161044
11136000000381,1.63759E-05,0.285073579,0.71001263,1.02349E-06,0.004895368,,8/19/2017,271.4016667,#N/A,9.423076923,0.00016666
11136000000391,0,0.000564761,0.959239328,0.030666156,0.009529755,9/25/2015,3/23/2018,956.1572222,1.050722222,12.56410256,0.000172431
11136000000395,4.72017E-06,0.119684645,0.745572185,0.115152102,0.019585168,9/25/2015,9/26/2017,235.3963889,0.321579766,15.70512821,0.00017836
11136000001036,0.000384776,0.967078703,0.016912496,2.47104E-05,0.015598138,5/28/2015,9/1/2016,236.0680556,0.510969817,18.84615385,0.000184449
11136000001081,0.001940096,0.058058383,0.565181288,0.172667183,0.202154433,,9/22/2017,401.7555556,#N/A,21.98717949,0.000190701
11136000001090,0.6583181,0.111805069,0.088963064,0.038557781,0.102354533,5/29/2015,10/6/2017,382.3122222,0.444032778,25.12820513,0.000197118
11136000001190,0.000929969,0.034129314,0.778577277,0.10941597,0.076947471,5/26/2015,5/2/2018,4307.790833,4.018461598,28.26923077,0.000203702
11136000001194,0.006709095,0.067107702,0.064244682,0.814263102,0.047675267,5/26/2015,11/2/2017,3630.685278,4.074843185,31.41025641,0.000210457
11136000001237,0.001806505,0.201161766,0.765014233,0.001064272,0.030952121,5/27/2015,3/24/2018,251.8675,0.244057655,34.55128205,0.000217384
11136000001248,0.002103054,0.760060495,0.233870292,0.001449982,0.002516615,5/27/2015,2/19/2018,1268.789722,1.270059782,37.69230769,0.000224486
11136000001285,0.004943833,0.057882723,0.51539673,0.082772232,0.339003707,,11/27/2017,358.7522222,#N/A,40.83333333,0.000231765
11136000001318,0.045828048,0.807547037,0.12094729,0.014431906,0.011245262,5/30/2015,12/29/2017,608.355,0.644443856,43.97435897,0.000239223
11136000001377,0.00539987,0.985593749,0.005519896,6.38433E-07,0.003486485,6/2/2015,8/4/2017,435.0927778,0.547975791,47.11538462,0.000246863
11136000001409,0.00088866,0.903196048,0.088826764,0.000312612,0.006775596,6/5/2015,2/26/2018,869.9111111,0.872528697,50.25641026,0.000254686
11136000001427,0.003566197,0.13354357,0.834344644,0.026679035,0.001867055,6/8/2015,12/22/2017,1110.037222,1.1961608,53.3974359,0.000262695
11136000001458,7.55146E-06,0.142631894,0.140364947,0.507744773,0.209253856,,10/14/2017,183.9233333,#N/A,56.53846154,0.000270892
11136000001459,8.81269E-07,0.061596313,0.109175158,0.135028073,0.694198693,6/9/2015,8/3/2017,315.2019444,0.401020286,59.67948718,0.000279278
11136000001503,4.26621E-05,0.316300807,0.250527459,7.75675E-06,0.433125194,,8/9/2016,71.62222222,#N/A,62.82051282,0.000287856
11136000001556,0.240536774,0.677262329,0.064666068,1.2773E-05,0.017523333,,4/26/2018,217.4719444,#N/A,65.96153846,0.000296627
11136000001598,0.004015991,0.16032371,0.476025566,0.001008554,0.358626179,6/16/2015,1/10/2018,91.44,0.097380192,69.1025641,0.000305592
11136000001644,0.010153136,0.044207435,0.328002826,0.061417862,0.556216533,6/17/2015,4/11/2018,125.7958333,0.122250567,72.24358974,0.000314754
11136000001680,0.001255592,0.873413442,0.099124764,0.016215881,0.009990321,7/1/2015,5/10/2018,551.3113889,0.528076043,75.38461538,0.000324114
11136000001710,0.003622258,0.912404237,0.077085438,0.000396704,0.006490779,2/29/2016,1/23/2018,476.1455556,0.686088697,78.52564103,0.000333673
11136000001716,0.013593782,0.936502336,0.020256847,0.000443457,0.029203578,6/19/2015,10/3/2017,916.4116667,1.094876543,81.66666667,0.000343433
11136000001717,0,0.018784775,0.587485572,6.35882E-05,0.393667448,6/19/2015,8/10/2017,200.9458333,0.256635802,84.80769231,0.000353395
11136000001735,0.013334705,0.504614184,0.396070113,0.02730978,0.058670292,,8/11/2017,299.74,#N/A,87.94871795,0.000363559
11136000001739,1.6436E-06,0.950936115,0.034569926,1.34776E-05,0.014478509,2/29/2016,10/21/2016,845.0263889,3.595856974,91.08974359,0.000373927
11136000001741,0.108247327,0.285407896,0.548237404,0.044820279,0.013286404,6/23/2015,2/10/2018,402.0191667,0.417465386,94.23076923,0.000384499
11136000001763,0.003059282,0.465530746,0.474942799,0.047467771,0.008998544,6/24/2015,8/2/2017,323.7869444,0.420502525,97.37179487,0.000395277
11136000001772,0.003498489,0.489125636,0.467648176,0.028606777,0.01112202,6/24/2015,10/5/2017,505.8533333,0.606538769,100.5128205,0.00040626
11136000001775,0,0.001671105,0.001873268,0.875835878,0.120618881,6/24/2015,3/15/2018,320.1475,0.321756281,103.6538462,0.00041745
11136000001790,1.32603E-06,0.002633488,0.872633872,0.108002169,0.016729145,,1/19/2018,209.4813889,#N/A,106.7948718,0.000428846
11136000001808,0.017774064,0.199815985,0.229004854,0.13052737,0.42288423,,11/14/2016,85.43972222,#N/A,109.9358974,0.000440449
11136000001834,4.47176E-05,0.425076271,0.021557222,0.508242007,0.045078664,6/27/2015,5/1/2018,248.4730556,0.239146348,113.0769231,0.000452259
11136000001839,0.002865192,0.18604861,0.336848867,0.214960342,0.259278193,,10/7/2017,230.9327778,#N/A,116.2179487,0.000464275
11136000001879,0.010997523,0.161248833,0.443645281,0.234135965,0.149970953,,11/2/2017,192.215,#N/A,119.3589744,0.000476498
11136000001888,0.001396251,0.00587117,0.990231,4.32276E-07,0.00250158,6/29/2015,9/27/2017,642.5938889,0.782696576,122.5,0.000488927
11136000001893,0.000141129,0.650221578,0.319206866,0.012293706,0.01813707,6/29/2015,3/20/2018,1596.255,1.604276382,125.6410256,0.000501561
11136000001930,0.00411833,0.921828664,0.047831145,0.00322892,0.022995272,6/30/2015,10/16/2017,238.2977778,0.284025957,128.7820513,0.000514399
11136000001943,0.000909328,0.007576131,0.052501973,0.840500046,0.098511321,7/1/2015,4/27/2018,231.2452778,0.224292219,131.9230769,0.000527441
11136000001961,4.77688E-05,0.122069185,0.156586123,3.98073E-05,0.721253135,,1/24/2017,69.78055556,#N/A,135.0641026,0.000540686
11136000002007,0.009333719,0.109115574,0.842655976,0.002107173,0.036785604,7/6/2015,10/4/2017,142.1072222,0.173090405,138.2051282,0.000554132
11136000002011,2.71056E-05,0.022771696,0.336615116,0.137581881,0.50300119,7/7/2015,8/15/2017,92.23194444,0.119781746,141.3461538,0.000567778
11136000002026,6.18788E-05,0.005938519,0.625527604,0.320506014,0.0479658,7/7/2015,12/19/2017,1508.325833,1.683399368,144.4871795,0.000581622
11136000002077,0.018541178,0.18547134,0.143321223,0.410745708,0.241917844,,8/10/2017,102.6094444,#N/A,147.6282051,0.000595662
11136000002105,0.011324779,0.302958026,0.567869139,0.08182607,0.036020303,,3/21/2018,330.0530556,#N/A,150.7692308,0.000609896
11136000002118,0.020824305,0.008433362,0.907885354,0.016655775,0.046203497,7/13/2015,7/13/2017,242.2916667,0.331452348,153.9102564,0.000624323
11136000002129,0.001461259,0.711459567,0.022367152,0.239899184,0.024817233,,7/18/2017,126.4130556,#N/A,157.0512821,0.00063894
11136000002140,0.098962499,0.651936486,0.135375816,0.003886194,0.109838199,,10/14/2016,344.5244444,#N/A,160.1923077,0.000653744
